solution_id,solution_description,submitted_id,problem_id,approved_by,approved,approved_date,created
0,Solution 0,9,48,2,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
1,Solution 1,35,16,0,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
2,Solution 2,7,25,0,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
3,Solution 3,33,20,0,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
4,Solution 4,4,21,0,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
5,Solution 5,45,28,2,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
6,Solution 6,10,9,1,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
7,Solution 7,11,15,3,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
8,Solution 8,2,23,4,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
9,Solution 9,42,22,0,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
10,Solution 10,21,16,4,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
11,Solution 11,4,26,4,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
12,Solution 12,25,6,4,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
13,Solution 13,36,21,0,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
14,Solution 14,0,44,2,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
15,Solution 15,13,17,4,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
16,Solution 16,1,46,1,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
17,Solution 17,6,41,2,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
18,Solution 18,31,43,1,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
19,Solution 19,29,40,5,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
20,Solution 20,33,45,1,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
21,Solution 21,17,4,5,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
22,Solution 22,12,2,1,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
23,Solution 23,10,33,4,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
24,Solution 24,37,6,0,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
25,Solution 25,13,5,1,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
26,Solution 26,8,29,4,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
27,Solution 27,9,23,1,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
28,Solution 28,16,3,3,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
29,Solution 29,48,8,1,0,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.774615
30,Solution 30,31,10,1,1,2022-05-05 14:15:34.774615,2022-05-05 14:15:34.775605
31,Solution 31,30,9,4,1,2022-05-05 14:15:34.775605,2022-05-05 14:15:34.775605
32,Solution 32,28,27,2,1,2022-05-05 14:15:34.775605,2022-05-05 14:15:34.775605
33,Solution 33,45,11,3,0,2022-05-05 14:15:34.775605,2022-05-05 14:15:34.775605
34,Solution 34,34,26,2,1,2022-05-05 14:15:34.775605,2022-05-05 14:15:34.775605
35,Solution 35,26,27,2,1,2022-05-05 14:15:34.775605,2022-05-05 14:15:34.775605
36,Solution 36,32,27,5,0,2022-05-05 14:15:34.775605,2022-05-05 14:15:34.775605
37,Solution 37,41,42,4,0,2022-05-05 14:15:34.775605,2022-05-05 14:15:34.775605
38,Solution 38,8,20,5,0,2022-05-05 14:15:34.775605,2022-05-05 14:15:34.775605
39,Solution 39,23,37,3,0,2022-05-05 14:15:34.775605,2022-05-05 14:15:34.775605
40,Solution 40,31,18,3,1,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
41,Solution 41,41,35,0,0,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
42,Solution 42,48,12,5,1,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
43,Solution 43,34,5,1,1,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
44,Solution 44,17,24,1,1,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
45,Solution 45,8,8,4,1,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
46,Solution 46,38,31,4,1,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
47,Solution 47,29,5,0,0,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
48,Solution 48,9,18,1,0,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
49,Solution 49,25,25,2,0,2022-05-05 14:15:34.775838,2022-05-05 14:15:34.775838
